file,size_mb,protocol,seconds,snapshots,dropped,issues,clean_end,truncated,players,kills,unresolved_kills,hits,shots,chat,hud,pov_jumps,status
1.6.dm_1,0.4,1,0.2,420,0,0,True,False,1,1,0,0,3,0,29,0,ok
1.7.dm_1,0.5,17,0.2,755,0,0,True,False,1,0,0,0,0,0,589,0,ok
1.9.dm_1,0.2,19,0.2,195,32,32,True,False,5,0,0,0,4,2,171,1,CHECK
^8inf_vs_myquest_^9backlot.dm_1,18.3,21,11.7,41464,0,0,True,False,12,211,0,454,4515,94,1992,0,ok
^8inf_vs_myquest_^9strike.dm_1,12.8,21,10.6,29100,0,0,True,False,10,132,0,319,2917,44,1513,0,ok
^8infes_^9alpha.dm_1,16.6,21,13.8,37773,0,0,True,False,10,195,0,436,3495,34,1806,0,ok
^8lafine_^9backlot.dm_1,19.4,21,12.6,44115,0,0,True,False,11,188,0,427,4373,49,2125,0,ok
^8lafine_^9cluster.dm_1,14.0,21,8.4,31849,0,0,True,False,10,158,0,301,2390,37,1859,0,ok
^8lafine_^9knife.dm_1,2.6,21,2.0,5712,0,0,True,False,11,27,0,32,378,17,157,0,ok
^8lafine_^9strike.dm_1,18.8,21,15.9,42181,0,0,True,False,11,190,0,379,3351,41,1880,0,ok
^9inf_^8warz.dm_1,10.4,21,8.6,23452,0,0,True,False,10,114,0,283,3715,23,1502,0,ok
backlot_deox1st.dm_1,8.5,21,5.7,19153,0,0,True,False,11,107,0,282,3338,45,1156,0,ok
cas1_backlot.dm_1,16.1,21,10.5,36333,0,0,True,False,11,212,0,478,4251,75,1901,0,ok
cas1_city.dm_1,16.0,21,15.6,36201,0,0,True,False,11,174,0,346,3460,39,1832,0,ok
cas1_crash.dm_1,0.3,21,0.2,622,0,0,True,False,11,2,0,3,97,1,17,0,ok
cas1_knife.dm_1,1.4,21,0.8,3081,0,0,True,False,9,6,0,0,134,10,134,0,ok
cas1_knife2.dm_1,0.5,21,0.3,896,0,0,True,False,11,7,0,1,41,2,113,0,ok
cas1_strike.dm_1,16.4,21,13.7,37357,0,0,True,False,10,161,0,295,2774,37,1511,0,ok
demo0024.dm_1,14.7,21,9.7,34204,0,0,True,False,10,168,0,404,3639,17,1956,0,ok
demo0025.dm_1,8.7,21,5.3,19732,0,0,True,False,10,119,0,236,1703,21,1364,0,ok
demo0026.dm_1,13.7,21,11.2,31619,0,0,True,False,10,165,0,332,3001,20,1911,0,ok
deox.dm_1,18.1,21,12.0,41064,0,0,True,False,10,241,0,536,6067,54,2101,0,ok
deox_map2.dm_1,10.8,21,9.2,24852,0,0,True,False,10,119,0,234,2486,18,1330,0,ok
deox_map3_cluster.dm_1,14.0,21,9.3,31831,0,0,True,False,10,166,0,362,2776,51,1658,0,ok
deoxstrike2nd.dm_1,16.0,21,13.3,36607,0,0,True,False,11,198,0,459,4733,69,1990,0,ok
FPS_324087_mp_backlot_x_BDaN.dm_1,7.2,21,4.4,14058,0,0,True,False,10,96,0,210,2029,9,1012,0,ok
FPS_324089_mp_crash_E6Hk.dm_1,17.3,21,10.2,34565,0,0,True,False,10,163,0,374,3729,16,1679,0,ok
FPS_324092_mp_strike_pdy1.dm_1,8.5,21,6.5,16489,0,0,True,False,10,111,0,213,1713,16,1085,0,ok
FPS_327111_mp_crash_bFjF.dm_1,15.0,21,8.9,28263,0,0,True,False,11,159,0,412,3951,36,1581,0,ok
inf_vs_myquest_knife.dm_1,1.7,21,1.1,3634,0,0,True,False,10,33,0,55,584,14,171,0,ok
lafine_knife.dm_1,2.0,21,1.4,4347,0,0,True,False,10,10,0,12,237,4,17,0,ok
